Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
106,1.767,-4.6425,5,0.75,-0.0225,0.0679,0.07058823529411802,0.07058823529411802,0.014117647058823605,0.014117647058823605,-0.045,0.013580000000000002,0.3575,0.1189,0.0005,14.715,14.7155,AFTER
107,1.783,-4.6429,5,0.75,-0.0214,0.0645,0.06874999999999995,0.06874999999999995,0.013749999999999991,0.013749999999999991,-0.0428,0.012900000000000002,0.3571,0.1193,0.0005,14.715,14.7155,AFTER
108,1.8,-4.6432,5,0.75,-0.0203,0.0613,0.06470588235294071,0.06470588235294071,0.012941176470588144,0.012941176470588144,-0.0406,0.01226,0.3568,0.1196,0.0004,14.715,14.7154,AFTER
109,1.817,-4.6435,5,0.75,-0.0193,0.0582,0.058823529411764885,0.058823529411764885,0.011764705882352977,0.011764705882352977,-0.0386,0.011640000000000001,0.3565,0.1199,0.0004,14.715,14.7154,AFTER
110,1.833,-4.6438,5,0.75,-0.0183,0.0553,0.0625,0.0625,0.0125,0.0125,-0.0367,0.01106,0.3562,0.1202,0.0003,14.715,14.7153,AFTER
111,1.85,-4.6441,5,0.75,-0.0174,0.0525,0.05294117647058793,0.05294117647058793,0.010588235294117586,0.010588235294117586,-0.0348,0.0105,0.3559,0.1205,0.0003,14.715,14.7153,AFTER
112,1.867,-4.6444,5,0.75,-0.0165,0.0499,0.052941176470588415,0.052941176470588415,0.010588235294117683,0.010588235294117683,-0.0331,0.009980000000000001,0.3556,0.1208,0.0003,14.715,14.7153,AFTER
113,1.883,-4.6447,5,0.75,-0.0157,0.0474,0.050000000000000086,0.050000000000000086,0.010000000000000018,0.010000000000000018,-0.0314,0.00948,0.3553,0.1211,0.0002,14.715,14.7152,AFTER
114,1.9,-4.6449,5,0.75,-0.0149,0.045,0.04705882352941195,0.04705882352941195,0.00941176470588239,0.00941176470588239,-0.0299,0.009,0.3551,0.1213,0.0002,14.715,14.7152,AFTER
115,1.917,-4.6452,5,0.75,-0.0142,0.0428,0.04117647058823495,0.04117647058823495,0.00823529411764699,0.00823529411764699,-0.0284,0.00856,0.3548,0.1215,0.0002,14.715,14.7152,AFTER
116,1.933,-4.6454,5,0.75,-0.0135,0.0406,0.043750000000000025,0.043750000000000025,0.008750000000000006,0.008750000000000006,-0.027,0.00812,0.3546,0.1218,0.0002,14.715,14.7152,AFTER
117,1.95,-4.6456,5,0.75,-0.0128,0.0386,0.04117647058823548,0.04117647058823548,0.008235294117647096,0.008235294117647096,-0.0256,0.007720000000000001,0.3544,0.122,0.0002,14.715,14.7152,AFTER
118,1.967,-4.6458,5,0.75,-0.0122,0.0367,0.03529411764705855,0.03529411764705855,0.007058823529411711,0.007058823529411711,-0.0243,0.007340000000000001,0.3542,0.1222,0.0001,14.715,14.7151,AFTER
119,1.983,-4.646,5,0.75,-0.0116,0.0348,0.03750000000000007,0.03750000000000007,0.007500000000000014,0.007500000000000014,-0.0231,0.00696,0.354,0.1224,0.0001,14.715,14.7151,AFTER
120,2.0,-4.6462,5,0.75,-0.011,0.0331,0.03529411764705901,0.03529411764705901,0.007058823529411802,0.007058823529411802,-0.022,0.00662,0.3538,0.1226,0.0001,14.715,14.7151,AFTER
